LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList,label
1,06-30,19:49:44.598,1955,3399,I,adbd    ,host-19: write thread spawning,892d1755,host<*>: <*> <*> <*>,"['-19', 'write', 'thread spawning']",0
2,06-30,19:49:44.598,1955,3398,I,adbd    ,host-19: read thread spawning,892d1755,host<*>: <*> <*> <*>,"['-19', 'read', 'thread spawning']",0
3,06-30,19:49:44.598,1955,1955,I,adbd    ,host-19: already offline,c761e341,host<*>: already offline,['-19'],0
4,06-30,19:49:44.598,1955,1955,I,adbd    ,authentication not required,324f190c,authentication not required,[],0
5,06-30,19:49:48.248,626,672,V,DisplayPowerController[0],"Brightness [0.39763778] reason changing to: 'manual', previous reason: 'manual [ dim ]'.",6ad2e57b,Brightness [<*>.<*>] reason changing to: <*> <*> <*> <*> <*> <*> <*>,"['0.39763778', ""'manual',"", 'previous', 'reason:', ""'manual [ dim ]'.""]",0
6,06-30,19:49:48.248,626,672,I,DisplayPowerController[0],"BrightnessEvent: disp=0, physDisp=local:4619827259835644672, brt=0.39763778, initBrt=0.05, rcmdBrt=NaN, preBrt=NaN, lux=0.0, preLux=0.0, hbmMax=1.0, hbmMode=off, rbcStrength=0, powerFactor=1.0, thrmMax=1.0, wasShortTermModelActive=false, flags=, reason=manual, autoBrightness=false",5d65f960,"BrightnessEvent: disp=<*>, physDisp=local:<*>, brt=<*>.<*>, initBrt=<*>.<*>, rcmdBrt=NaN, preBrt=NaN, lux=<*>.<*>, preLux=<*>.<*>, hbmMax=<*>.<*>, hbmMode=off, rbcStrength=<*>, powerFactor=<*>.<*>, thrmMax=<*>.<*>, wasShortTermModelActive=false, flags=, <*> autoBrightness=false","['0', '4619827259835644672', '0.39763778', '0.05', '0.0', '0.0', '1.0', '0', '1.0', '1.0', 'reason=manual,']",0
7,06-30,19:49:48.263,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
8,06-30,19:49:48.263,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
9,06-30,19:49:48.279,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
10,06-30,19:49:48.280,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
11,06-30,19:49:48.292,1090,1386,D,EGL_emulation,app_time_stats: avg=4558.04ms min=8.18ms max=154344.09ms count=34,09f96292,app_time_stats: <*> <*> <*> count=<*>,"['avg=4558.04ms', 'min=8.18ms max=154344.09ms', '34']",0
12,06-30,19:49:48.292,486,502,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
13,06-30,19:49:48.299,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
14,06-30,19:49:48.299,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
15,06-30,19:49:48.313,440,495,I,RanchuHwc,"validateDisplay: layer 22 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['22', '1']",0
16,06-30,19:49:48.313,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
17,06-30,19:49:48.313,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
18,06-30,19:49:48.313,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
19,06-30,19:49:48.330,440,495,I,RanchuHwc,"validateDisplay: layer 22 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['22', '1']",0
20,06-30,19:49:48.330,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
21,06-30,19:49:48.333,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
22,06-30,19:49:48.333,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
23,06-30,19:49:48.347,440,495,I,RanchuHwc,"validateDisplay: layer 22 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['22', '1']",0
24,06-30,19:49:48.347,440,495,I,RanchuHwc,"validateDisplay: layer 21 CompositionType 1, fallback to client",e3959746,"validateDisplay: layer <*> CompositionType <*>, fallback to client","['21', '1']",0
25,06-30,19:49:48.351,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
26,06-30,19:49:48.351,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
27,06-30,19:49:48.359,486,569,E,SurfaceFlinger,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,5de975b3,Only WindowManager is allowed to use eEarlyWakeup[Start|End] flags,[],0
28,06-30,19:49:48.364,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
29,06-30,19:49:48.364,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
30,06-30,19:49:48.371,807,1108,D,EGL_emulation,app_time_stats: avg=26139.34ms min=26139.34ms max=26139.34ms count=1,09f96292,app_time_stats: <*> <*> <*> count=<*>,"['avg=26139.34ms', 'min=26139.34ms max=26139.34ms', '1']",0
31,06-30,19:49:48.373,807,1108,D,EGL_emulation,app_time_stats: avg=17164.73ms min=12.45ms max=154354.64ms count=9,09f96292,app_time_stats: <*> <*> <*> count=<*>,"['avg=17164.73ms', 'min=12.45ms max=154354.64ms', '9']",0
32,06-30,19:49:48.381,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
33,06-30,19:49:48.382,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
34,06-30,19:49:48.398,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
35,06-30,19:49:48.398,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
36,06-30,19:49:48.414,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
37,06-30,19:49:48.415,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
38,06-30,19:49:48.431,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
39,06-30,19:49:48.432,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
40,06-30,19:49:48.448,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
41,06-30,19:49:48.448,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
42,06-30,19:49:48.464,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
43,06-30,19:49:48.464,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
44,06-30,19:49:48.481,626,793,E,DisplayDeviceConfig,requesting nits when no mapping exists.,7bbed991,requesting nits when no mapping exists.,[],0
